01Rx001a	10037	10176	B26	AD2106	250538-004
01Rx002a	06038	06038	B18	AD5608	210791-010
01Rx003a	06101	07101	B12	AD5302	250539-002
01Rx004a	06103	07103	B14	AD5304	250541-003
01Rx005a	06104	07104	B68	AD2108	235121-005
01Rx006a	06105	07105	B16	AD5306	250537-003
01Rx007a	10009	10159	B68	AD3408	247944-008
01Rx081a	10010	10183	B67	AD3107	242326-004
01Rx008a	06108	07108	B34	AD3104	213262-004
01Rx009a	06109	07113	B23	AD6103	250539-007
01Rx010a	06111	07111	B25	AD3305	246221-005
01Rx011a	06113	10150	B27	AD3307	250539-004
01Rx024a	06115	07115	B31	AD3401	250537-005
01Rx023a	06116	07116	B26	AD3106	211610-001
01Rx022a	07049	07049	B17	AD5607	242326-010
01Rx021a	08003	09003	B43	AD3503	246215-003
01Rx020a	08006	09025	B47	AD3507	211605-003
01Rx019a	08007	09007	B48	AD3508	247947-008
01Rx082a	08010	10148	B53	AD3603	239972-006
01Rx018a	08011	09011	B54	AD3604	231157-010
01Rx017a	08013	09013	B61	AD3701	250541-004
01Rx016a	08016	09016	B62	AD3702	276794-007
01Rx015a	08012	09006	B53	AD5303	242330-009
01Rx014a	08017	09017	B63	AD3703	211530-006
01Rx013a	08019	09019	B65	AD3705	210790-002
01Rx012a	08021	10106	B68	AD3708	276798-010
01Rx025a	08022	09022	B71	AD3801	239973-002
01Rx026a	08026	09026	B53	AD6003	268912-001
01Rx027a	08024	10112	B72	AD3802	247942-003
01Rx028a	08027	09027	B62	AD5102	247943-008
01Rx029a	08029	09029	B78	AD3808	242330-001
01Rx030a	08030	09030	B12	AD3902	276797-020
01Rx031a	08032	10145	B52	AD5002	279366-014
01Rx083a	08035	09035	B17	AD3907	276798-023
01Rx032a	08044	09052	B12	AD3402	247834-003
01Rx033a	08047	08047	B35	AD3405	239969-001
01Rx034a	08052	09012	B36	AD4106	231157-011
01Rx035a	08053	09053	B37	AD4107	276797-013
01Rx036a	08054	09054	B61	AD3501	279365-009
01Rx037a	08059	09059	B45	AD4205	276797-025
01Rx038a	08060	09060	B46	AD4206	211605-005
01Rx039a	08062	08009	B48	AD4208	246219-001
01Rx055a	08065	10144	B52	AD4302	247919-002
01Rx054a	08067	09067	B54	AD4304	247943-001
01Rx053a	08070	09081	B58	AD4308	246220-005
01Rx052a	09001	10109	B62	AD4402	239970-009
01Rx051a	10006	10173	B15	5705	279366-020
01Rx050a	09003	10003	B64	AD4404	247942-009
01Rx049a	09007	10007	B71	AD4501	247944-007
01Rx048a	09008	10008	B72	AD4502	246220-008
01Rx047a	09011	10011	B75	AD5205	250537-010
01Rx046a	09012	10012	B76	AD4506	246219-004
01Rx084a	09016	10016	B13	AD4603	242333-001
01Rx045a	09019	10019	B15	AD4605	276797-023
01Rx044a	09020	10020	B16	AD4606	247919-009
01Rx043a	09013	10013	B78	AD4508	247919-010
01Rx042a	09023	10023	B18	AD4608	247945-007
01Rx041a	09028	08037	B21	AD4701	247944-010
01Rx040a	09029	10029	B23	AD4703	247943-007
01Rx056a	09030	10030	B24	AD4704	247944-002
01Rx057a	09031	10031	B25	AD4705	250538-009
01Rx058a	09032	10032	B26	AD4706	279367-011
01Rx059a	09033	10033	B27	AD4707	250545-005
01Rx085a	09034	10108	B28	AD4708	246215-010
01Rx060a	09035	10035	B31	AD5301	246219-006
01Rx061a	09040	10040	B32	AD5402	231157-025
01Rx062a	09042	10042	B34	AD5404	247946-003
01Rx063a	09044	10044	B56	AD4306	213261-005
01Rx064a	09047	10047	B37	AD5407	247947-010
01Rx065a	09048	10048	B38	AD5408	250540-010
01Rx066a	09049	10049	B41	AD4901	279364-010
01Rx067a	09056	10056	B47	AD4907	246213-007
01Rx068a	09058	10058	B74	AD3804	242333-003
01Rx069a	09060	10060	B53	AD5003	247942-005
01Gx001a	08066	09066	B28	AD3108	246215-007
01Gx002a	10007	10180	B62	AD3002	250536-003
01Rx080a	09062	10062	B54	AD5204	247941-010
01Rx079a	09067	10067	B56	AD5006	279366-009
01Rx078a	09068	10149	B74	AD5604	289025-002
01Rx077a	09070	10070	B61	AD5101	247945-008
01Rx076a	09071	10071	B51	AD5001	210802-008
01Rx075a	09074	10074	B63	AD5103	279367-014
01Rx074a	09078	10078	B65	AD5105	250538-008
01Rx073a	09084	10084	B72	AD5202	247947-003
01Rx086a	09113	09091	B73	AD5603	246218-002
01Rx072a	10002	10160	B64	AD3504	239970-007
01Rx071a	10003	10171	B76	AD3006	279367-007
01Rx070a	10005	10105	B14	AD4604	246217-006
